@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 numeric

@data
321,'2018/11/21 07:43:23:364',1,70.137482,8.924283,183,754,?
322,'2018/11/21 07:43:23:382',1,70.145638,8.947652,183,754,?
323,'2018/11/21 07:43:23:398',1,70.150665,9.005625,183,754,?
324,'2018/11/21 07:43:23:420',1,70.150017,9.021039,183,754,?
325,'2018/11/21 07:43:23:435',1,70.126762,9.05537,183,754,?
326,'2018/11/21 07:43:23:448',1,70.119888,9.066472,183,754,?
327,'2018/11/21 07:43:23:465',1,70.080147,9.116105,183,754,?
328,'2018/11/21 07:43:23:482',1,70.06208,9.112946,183,754,?
329,'2018/11/21 07:43:23:499',1,70.038231,9.091861,183,754,?
330,'2018/11/21 07:43:23:515',1,70.021538,9.074932,183,754,?
331,'2018/11/21 07:43:23:537',1,70.012856,9.054688,183,754,?
332,'2018/11/21 07:43:26:950',2,70.588394,9.964689,183,754,?
333,'2018/11/21 07:43:26:965',2,70.56321,9.952093,183,754,?
334,'2018/11/21 07:43:26:983',2,70.536766,9.927341,183,754,?
335,'2018/11/21 07:43:26:999',2,70.531227,9.945804,183,754,?
336,'2018/11/21 07:43:27:015',2,70.531845,9.974504,183,754,?
337,'2018/11/21 07:43:27:032',2,70.546356,10.020113,183,754,?
338,'2018/11/21 07:43:27:049',2,70.563889,10.078508,183,754,?
339,'2018/11/21 07:43:27:065',2,70.566528,10.086262,183,754,?
340,'2018/11/21 07:43:27:082',2,70.570641,10.098652,183,754,?
341,'2018/11/21 07:43:27:099',2,70.547134,10.064213,183,754,?
342,'2018/11/21 07:43:27:115',2,70.493996,10.010914,183,754,?
343,'2018/11/21 07:43:27:132',2,70.46125,9.974461,183,754,?
344,'2018/11/21 07:43:27:148',2,70.437592,9.958977,183,754,?
